,door_in,door_out,window_in,window_out,cvrmse
1,0.000277778,0.000277778,0.000277778,0.000277778,78.25061773
2,0.001018519,0.000277778,0.000277778,0.000277778,86.22882744
3,0.001759259,0.000277778,0.000277778,0.000277778,94.24476365
4,0.0025,0.000277778,0.000277778,0.000277778,102.2895574
5,0.003240741,0.000277778,0.000277778,0.000277778,110.356898
6,0.003981481,0.000277778,0.000277778,0.000277778,118.4421782
7,0.004722222,0.000277778,0.000277778,0.000277778,126.5419596
8,0.005462963,0.000277778,0.000277778,0.000277778,134.6536251
9,0.006203704,0.000277778,0.000277778,0.000277778,142.7751494
10,0.006944444,0.000277778,0.000277778,0.000277778,150.9049406
11,0.000277778,0.001018519,0.000277778,0.000277778,48.71860538
12,0.001018519,0.001018519,0.000277778,0.000277778,55.30545179
13,0.001759259,0.001018519,0.000277778,0.000277778,61.99566959
14,0.0025,0.001018519,0.000277778,0.000277778,68.75909148
15,0.003240741,0.001018519,0.000277778,0.000277778,75.57606656
16,0.003981481,0.001018519,0.000277778,0.000277778,82.43330987
17,0.004722222,0.001018519,0.000277778,0.000277778,89.32154766
18,0.005462963,0.001018519,0.000277778,0.000277778,96.23412462
19,0.006203704,0.001018519,0.000277778,0.000277778,103.1661484
20,0.006944444,0.001018519,0.000277778,0.000277778,110.1139463
21,0.000277778,0.001759259,0.000277778,0.000277778,28.09845126
22,0.001018519,0.001759259,0.000277778,0.000277778,32.99734782
23,0.001759259,0.001759259,0.000277778,0.000277778,38.25776768
24,0.0025,0.001759259,0.000277778,0.000277778,43.74949642
25,0.003240741,0.001759259,0.000277778,0.000277778,49.39544424
26,0.003981481,0.001759259,0.000277778,0.000277778,55.14826571
27,0.004722222,0.001759259,0.000277778,0.000277778,60.97771999
28,0.005462963,0.001759259,0.000277778,0.000277778,66.8637666
29,0.006203704,0.001759259,0.000277778,0.000277778,72.79267861
30,0.006944444,0.001759259,0.000277778,0.000277778,78.75477546
31,0.000277778,0.0025,0.000277778,0.000277778,18.32343717
32,0.001018519,0.0025,0.000277778,0.000277778,19.87329396
33,0.001759259,0.0025,0.000277778,0.000277778,22.64288868
34,0.0025,0.0025,0.000277778,0.000277778,26.24892637
35,0.003240741,0.0025,0.000277778,0.000277778,30.39514756
36,0.003981481,0.0025,0.000277778,0.000277778,34.8894968
37,0.004722222,0.0025,0.000277778,0.000277778,39.61366066
38,0.005462963,0.0025,0.000277778,0.000277778,44.49449817
39,0.006203704,0.0025,0.000277778,0.000277778,49.48567223
40,0.006944444,0.0025,0.000277778,0.000277778,54.55690861
41,0.000277778,0.003240741,0.000277778,0.000277778,21.49149902
42,0.001018519,0.003240741,0.000277778,0.000277778,19.25162948
